marca, nombre, precio, pantalla, almacenamiento, ram, bateria, camara
Xiaomi, Redmi A2, 71.990, 6.5, 32 GB, 2 GB, 5000 mAh, 8MP
Xiaomi, Redmi A1, 81.990, 6.5, 32 GB, 2 GB, 5000 mAh, 8 MP
Samsung, Galaxy A04e, 99.990, 6.5, 32 GB, 3 GB, 5000 mAh, 13 MP
Motorola, Moto G13, 119.990, 6.52, 128 GB, 4 GB, 5000 mAh, 50 MP
Samsung, Galaxy A22, 149.990, 6.6, 128 GB, 4 GB, 5000 mAh, 48 MP
Vivo, Y22s, 199.990, 6.56, 128 GB, 6 GB, 5000 mAh, 50 MP
Samsung, Galaxy A33, 209.990, 6.43, 128 GB, 6 GB, 5000 mAh, 48 MP
Samsung, Galaxy A23, 244.990, 6.6, 128 GB, 6 GB, 5000 mAh, 50 MP
Vivo, V21, 299.990, 6.44, 128 GB, 6 GB, 4000 mAh, 64 MP
Samsung, Galaxy A34, 304.990, 6.6, 128 GB, 6 GB, 5000 mAh, 48 MP
Xiaomi, Xiaomi 12 Lite, 354.990, 6.55, 128 GB, 8 GB, 4300 mAh, 108 MP
Vivo, V25, 399.990, 6.44, 128 GB, 8 GB, 4500 mAh, 50 MP
Apple, iPhone 11, 404.990, 6.1, 64 GB, 4 GB, 3110 mAh, 12 MP
Samsung, Galaxy S22, 574.990, 6.1, 256 GB, 8 GB, 3700 mAh, 50 MP
Apple, iPhone 13, 699.990, 6.1, 128 GB, 4 GB, 3240 mAh, 12 MP
